88
0,4,0,0,0,0,0,8,0,1,2,0,4,0,0,0,0,0,8,0,1,2,0,4,0,0,0,0,0,8,0,1,2,0,4,0,0,0,0,0,8,0,1,2,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
4,0,8,0,0,0,0,11,0,4,4,4,0,8,0,0,0,0,11,0,4,4,4,0,8,0,0,0,0,11,0,4,4,4,0,8,0,0,0,0,11,0,4,4,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
0,8,0,7,0,4,0,0,2,5,5,0,8,0,7,0,4,0,0,2,5,5,0,8,0,7,0,4,0,0,2,5,5,0,8,0,7,0,4,0,0,2,5,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
0,0,7,0,9,14,0,0,0,6,6,0,0,7,0,9,14,0,0,0,6,6,0,0,7,0,9,14,0,0,0,6,6,0,0,7,0,9,14,0,0,0,6,6,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
0,0,0,9,0,10,0,0,0,7,7,0,0,0,9,0,10,0,0,0,7,7,0,0,0,9,0,10,0,0,0,7,7,0,0,0,9,0,10,0,0,0,7,7,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
0,0,4,14,10,0,2,0,0,9,2,0,0,4,14,10,0,2,0,0,9,2,0,0,4,14,10,0,2,0,0,9,2,0,0,4,14,10,0,2,0,0,9,2,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
0,0,0,0,0,2,0,1,6,9,3,0,0,0,0,0,2,0,1,6,9,3,0,0,0,0,0,2,0,1,6,9,3,0,0,0,0,0,2,0,1,6,9,3,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
8,11,0,0,0,0,1,0,7,3,5,8,11,0,0,0,0,1,0,7,3,5,8,11,0,0,0,0,1,0,7,3,5,8,11,0,0,0,0,1,0,7,3,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
0,0,2,0,0,0,6,7,0,4,6,0,0,2,0,0,0,6,7,0,4,6,0,0,2,0,0,0,6,7,0,4,6,0,0,2,0,0,0,6,7,0,4,6,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
0,0,2,0,0,0,6,7,0,5,2,0,0,2,0,0,0,6,7,0,5,2,0,0,2,0,0,0,6,7,0,5,2,0,0,2,0,0,0,6,7,0,5,2,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5,0,0,2,0,0,0,6,7,0,6,5
